Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,GitHub ID,Integration,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3155313,Having a menu,having a menu,,,,epic,,,"Nov 17, 2016",,,,,https://www.pivotaltracker.com/epic/show/3155313,,,,,,,,,,,,,
3152969,Payment,payment,,,,epic,,,"Nov 17, 2016",,,,"when the payment selected, all the payment modules will be display",https://www.pivotaltracker.com/epic/show/3152969,,,,,,,,,,,,,
3152967,Staff,staff,,,,epic,,,"Nov 17, 2016",,,,"when the staff selected, all the staff modules will be display",https://www.pivotaltracker.com/epic/show/3152967,,,,,,,,,,,,,
3152965,Dispensary ,dispensary,,,,epic,,,"Nov 17, 2016",,,,"when the dispensary selected, all the dispensary modules will be display",https://www.pivotaltracker.com/epic/show/3152965,,,,,,,,,,,,,
3152949,Patient,patient,,,,epic,,,"Nov 17, 2016",,,,"when the patient selected, all the patient modules will be display",https://www.pivotaltracker.com/epic/show/3152949,,,,,,,,,,,,,
134570509,View all the modules ,having a menu,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"when the modules selected, the UI of the modules will be display. ",https://www.pivotaltracker.com/story/show/134570509,,,,Connect databse,not completed,Create UI,not completed
134506659,Create payment,payment,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to create payment for the future use.",https://www.pivotaltracker.com/story/show/134506659,,,,Connect databse,not completed,Create UI,not completed,Get User data,not completed,Validation,not completed,Keep track database,not completed
134506589,View staff,staff,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to view staff to get more details.",https://www.pivotaltracker.com/story/show/134506589,,,,Connect databse,not completed,Create UI,not completed,Get User data,not completed,Validation,not completed,Keep track databse,not completed
134506579,Update staff,staff,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to update staff so that no outdated record in the database ",https://www.pivotaltracker.com/story/show/134506579,,,,Connect databse,not completed,Create UI,not completed,Get User data,not completed,Validation,not completed,Keep track databse,not completed
134506571,Create staff,staff,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to add staff for the doctor to view.",https://www.pivotaltracker.com/story/show/134506571,,,,Connect database ,not completed,Create UI,not completed,Get User data,not completed,Validation,not completed
134506559,Delete dispensary,dispensary,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to delete patient so that outdated records not in the database.",https://www.pivotaltracker.com/story/show/134506559,,,,Connect Database,not completed,Create UI,not completed,Get User data,not completed,Validation,not completed,Keep track database,not completed
134506545,View dispensary,dispensary,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to view dispensary to  keep track the dispensary details.",https://www.pivotaltracker.com/story/show/134506545,,,,Connect databse,not completed,Create UI,not completed,Validation,not completed,Get User data,not completed,Keep track database,not completed
134506535,Update dispensary,dispensary,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to update dispensary details so that dispensary details is up-to-date",https://www.pivotaltracker.com/story/show/134506535,,,,Connect Database,not completed,Create UI,not completed,Get User data,not completed,Validation,not completed,Keep Track database,not completed
134506521,Create dispensary,dispensary,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to add dispensary for the doctor/staff to view.",https://www.pivotaltracker.com/story/show/134506521,,,,Connect databse,not completed,Create UI,not completed,Get user data,not completed,Validation,not completed
134506307,View patient,patient,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to view patient to keep track the patient details.",https://www.pivotaltracker.com/story/show/134506307,,,,Connect databse,not completed,Create UI,not completed,Validation,not completed,Get User data,not completed,Keep track database,not completed
134506115,Update Patient,patient,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to update patient details so that patient details is up-to-date",https://www.pivotaltracker.com/story/show/134506115,,,,Connect Database,not completed,Create UI,not completed,Get User data,not completed,Validation,not completed,Keep Track database,not completed
134506061,Create patient,patient,,,,feature,,unscheduled,"Nov 17, 2016",,,Ho Liao,"As a administrator, i want to add patient for the doctor/staff to view.",https://www.pivotaltracker.com/story/show/134506061,,,,Connect databse,not completed,Create UI,not completed,Get user data,not completed,Validation,not completed
